Values[k1].InitialValue	Values[kd1].InitialValue	Values[kt3].InitialValue	Values[kt5].InitialValue	Values[k2].InitialValue	Values[kd2].InitialValue	Time	[l1]	[l13]	[l15]	[l135]	[c]
1.25501	0.297082	375.692	709.149	17.6235	0.0612988	0	0.00115654	0.000612453	0.00218134	0.0699662	20.1154
3.48808	0.1598	272.187	681.68	17.1812	0.0623277	0	0.00365617	0.00145952	0.00915136	0.201015	55.4117
2.25668	0.146471	373.1	771.389	18.8923	0.0818032	0	0.00197153	0.000953394	0.00407456	0.118477	27.362
3.18361	0.113785	94.1546	490.965	17.5944	0.0485464	0	0.0054399	0.00104299	0.0283319	0.179558	65.0763
1.55688	0.314315	467.398	517.078	18.483	0.0716559	0	0.00158092	0.00142816	0.00174778	0.0827451	21.3433
2.22394	0.238404	97.0357	221.15	17.6663	0.0526176	0	0.0069842	0.00306121	0.0158784	0.123865	41.5874
3.16413	0.18437	588.022	356.683	17.3204	0.0348105	0	0.00334868	0.00551773	0.00203061	0.180643	89.8814
1.21414	0.214058	487.154	47.7984	17.0944	0.0458969	0	0.00226871	0.0230193	0.000222502	0.0698316	26.0089
2.20871	0.286378	130.404	990.793	17.7875	0.0758614	0	0.00196945	0.000259137	0.0149308	0.121932	28.59
3.04961	0.158533	415.143	130.602	18.7823	0.0510692	0	0.00558636	0.0177357	0.00175678	0.160797	59.1383
1.97367	0.166277	344.29	28.6674	16.7235	0.0658819	0	0.00528959	0.0631605	0.000440228	0.116178	29.4906
3.41876	0.19312	604.668	31.2284	18.3707	0.0642084	0	0.00537465	0.103429	0.000277488	0.183028	52.3661
3.02958	0.128869	903.446	229.504	17.8766	0.0398653	0	0.00267376	0.0105194	0.000679123	0.168159	75.4071
2.18699	0.13601	75.3896	430.051	17.8346	0.0281964	0	0.00432574	0.000758078	0.0246312	0.121473	76.8335
3.05899	0.177249	53.4081	719.637	17.0301	0.0592678	0	0.00395616	0.000293535	0.0531302	0.177181	50.9115
3.22342	0.303109	802.73	618.449	17.2303	0.0722409	0	0.00226765	0.00294191	0.00174641	0.183724	43.8204
3.31241	0.127599	665.171	339.64	18.9041	0.0465574	0	0.00329613	0.00645291	0.0016827	0.17397	70.6387
3.48625	0.253827	515.507	573.342	18.2126	0.063527	0	0.00320103	0.00287686	0.0035584	0.188657	54.086
1.51542	0.259759	129.368	832.563	17.8021	0.038828	0	0.00157497	0.000244651	0.0101156	0.0837303	38.3892
3.16743	0.239474	617.824	912.425	16.9703	0.0469468	0	0.00206955	0.00140097	0.00305521	0.183958	66.4967
1.47184	0.262994	537.138	813.31	17.9685	0.0406088	0	0.00108968	0.00071943	0.00164913	0.0806808	35.6995
1.55655	0.322218	651.436	575.827	18.5236	0.0493328	0	0.00126798	0.00143367	0.00112025	0.0825285	30.988
2.31612	0.299084	493.907	212.05	17.5218	0.0640079	0	0.00327943	0.0076277	0.00140711	0.12976	35.521
2.61495	0.281059	408.71	816.983	17.7234	0.0583723	0	0.00213296	0.00106668	0.00426071	0.145123	44.0631
3.59297	0.294908	449.319	222.431	16.7992	0.0356883	0	0.00534632	0.0107855	0.00264491	0.209864	98.7869
2.87214	0.286161	429.868	265.449	17.0384	0.0304909	0	0.004129	0.00667931	0.00254801	0.165564	92.5176
2.11869	0.239366	278.376	506.605	17.3473	0.0332889	0	0.00269821	0.00148195	0.00490616	0.120348	62.7148
